step,return,config
45956,336.0,PPO-MLP / CartPole (MDP)
46360,197.0,PPO-MLP / CartPole (MDP)
46724,191.0,PPO-MLP / CartPole (MDP)
46772,214.0,PPO-MLP / CartPole (MDP)
47208,394.0,PPO-MLP / CartPole (MDP)
47228,216.0,PPO-MLP / CartPole (MDP)
47880,167.0,PPO-MLP / CartPole (MDP)
48476,425.0,PPO-MLP / CartPole (MDP)
48488,314.0,PPO-MLP / CartPole (MDP)
48532,162.0,PPO-MLP / CartPole (MDP)
48728,500.0,PPO-MLP / CartPole (MDP)
49140,162.0,PPO-MLP / CartPole (MDP)
49320,196.0,PPO-MLP / CartPole (MDP)
49536,201.0,PPO-MLP / CartPole (MDP)
49656,294.0,PPO-MLP / CartPole (MDP)
50036,223.0,PPO-MLP / CartPole (MDP)
50424,221.0,PPO-MLP / CartPole (MDP)
50600,235.0,PPO-MLP / CartPole (MDP)
51172,462.0,PPO-MLP / CartPole (MDP)
51380,335.0,PPO-MLP / CartPole (MDP)
51432,207.0,PPO-MLP / CartPole (MDP)
51880,363.0,PPO-MLP / CartPole (MDP)
52200,256.0,PPO-MLP / CartPole (MDP)
52416,258.0,PPO-MLP / CartPole (MDP)
52896,365.0,PPO-MLP / CartPole (MDP)
52952,133.0,PPO-MLP / CartPole (MDP)
53208,331.0,PPO-MLP / CartPole (MDP)
53472,317.0,PPO-MLP / CartPole (MDP)
53756,214.0,PPO-MLP / CartPole (MDP)
53820,152.0,PPO-MLP / CartPole (MDP)
54096,285.0,PPO-MLP / CartPole (MDP)
54492,254.0,PPO-MLP / CartPole (MDP)
54716,223.0,PPO-MLP / CartPole (MDP)
55368,402.0,PPO-MLP / CartPole (MDP)
55816,330.0,PPO-MLP / CartPole (MDP)
55824,276.0,PPO-MLP / CartPole (MDP)
55860,122.0,PPO-MLP / CartPole (MDP)
56024,481.0,PPO-MLP / CartPole (MDP)
56528,125.0,PPO-MLP / CartPole (MDP)
57048,307.0,PPO-MLP / CartPole (MDP)
57276,353.0,PPO-MLP / CartPole (MDP)
57520,423.0,PPO-MLP / CartPole (MDP)
57932,163.0,PPO-MLP / CartPole (MDP)
58520,497.0,PPO-MLP / CartPole (MDP)
58584,265.0,PPO-MLP / CartPole (MDP)
58928,248.0,PPO-MLP / CartPole (MDP)
59052,500.0,PPO-MLP / CartPole (MDP)
59676,186.0,PPO-MLP / CartPole (MDP)
59700,294.0,PPO-MLP / CartPole (MDP)
60152,112.0,PPO-MLP / CartPole (MDP)
60156,275.0,PPO-MLP / CartPole (MDP)
60296,427.0,PPO-MLP / CartPole (MDP)
60448,192.0,PPO-MLP / CartPole (MDP)
60840,135.0,PPO-MLP / CartPole (MDP)
61032,219.0,PPO-MLP / CartPole (MDP)
61808,339.0,PPO-MLP / CartPole (MDP)
61956,278.0,PPO-MLP / CartPole (MDP)
62160,500.0,PPO-MLP / CartPole (MDP)
62472,359.0,PPO-MLP / CartPole (MDP)
62744,196.0,PPO-MLP / CartPole (MDP)
62932,280.0,PPO-MLP / CartPole (MDP)
63284,280.0,PPO-MLP / CartPole (MDP)
64160,353.0,PPO-MLP / CartPole (MDP)
64476,500.0,PPO-MLP / CartPole (MDP)
64936,500.0,PPO-MLP / CartPole (MDP)
65288,500.0,PPO-MLP / CartPole (MDP)
65608,282.0,PPO-MLP / CartPole (MDP)
65748,396.0,PPO-MLP / CartPole (MDP)
66204,316.0,PPO-MLP / CartPole (MDP)
66536,311.0,PPO-MLP / CartPole (MDP)
66816,266.0,PPO-MLP / CartPole (MDP)
67612,500.0,PPO-MLP / CartPole (MDP)
67768,390.0,PPO-MLP / CartPole (MDP)
68144,93.0,PPO-MLP / CartPole (MDP)
68540,500.0,PPO-MLP / CartPole (MDP)
68624,252.0,PPO-MLP / CartPole (MDP)
68692,468.0,PPO-MLP / CartPole (MDP)
68900,188.0,PPO-MLP / CartPole (MDP)
69096,100.0,PPO-MLP / CartPole (MDP)
69564,234.0,PPO-MLP / CartPole (MDP)
70392,462.0,PPO-MLP / CartPole (MDP)
70872,443.0,PPO-MLP / CartPole (MDP)
70904,500.0,PPO-MLP / CartPole (MDP)
71552,496.0,PPO-MLP / CartPole (MDP)
71984,269.0,PPO-MLP / CartPole (MDP)
72396,500.0,PPO-MLP / CartPole (MDP)
72876,500.0,PPO-MLP / CartPole (MDP)
72880,331.0,PPO-MLP / CartPole (MDP)
73988,500.0,PPO-MLP / CartPole (MDP)
74092,302.0,PPO-MLP / CartPole (MDP)
74352,488.0,PPO-MLP / CartPole (MDP)
74880,500.0,PPO-MLP / CartPole (MDP)
75004,253.0,PPO-MLP / CartPole (MDP)
75408,328.0,PPO-MLP / CartPole (MDP)
75664,195.0,PPO-MLP / CartPole (MDP)
76356,500.0,PPO-MLP / CartPole (MDP)
76420,353.0,PPO-MLP / CartPole (MDP)
77388,494.0,PPO-MLP / CartPole (MDP)
77572,303.0,PPO-MLP / CartPole (MDP)
77584,479.0,PPO-MLP / CartPole (MDP)
78424,500.0,PPO-MLP / CartPole (MDP)
78508,233.0,PPO-MLP / CartPole (MDP)
79392,500.0,PPO-MLP / CartPole (MDP)
79588,500.0,PPO-MLP / CartPole (MDP)
80340,478.0,PPO-MLP / CartPole (MDP)
80384,247.0,PPO-MLP / CartPole (MDP)
80512,500.0,PPO-MLP / CartPole (MDP)
80840,312.0,PPO-MLP / CartPole (MDP)
81580,266.0,PPO-MLP / CartPole (MDP)
82104,440.0,PPO-MLP / CartPole (MDP)
82388,500.0,PPO-MLP / CartPole (MDP)
82528,421.0,PPO-MLP / CartPole (MDP)
82816,308.0,PPO-MLP / CartPole (MDP)
83756,306.0,PPO-MLP / CartPole (MDP)
84108,500.0,PPO-MLP / CartPole (MDP)
84276,471.0,PPO-MLP / CartPole (MDP)
84456,409.0,PPO-MLP / CartPole (MDP)
85400,410.0,PPO-MLP / CartPole (MDP)
85504,261.0,PPO-MLP / CartPole (MDP)
86112,500.0,PPO-MLP / CartPole (MDP)
86280,500.0,PPO-MLP / CartPole (MDP)
86400,223.0,PPO-MLP / CartPole (MDP)
87164,440.0,PPO-MLP / CartPole (MDP)
87328,303.0,PPO-MLP / CartPole (MDP)
87536,313.0,PPO-MLP / CartPole (MDP)
87576,293.0,PPO-MLP / CartPole (MDP)
87940,193.0,PPO-MLP / CartPole (MDP)
88380,200.0,PPO-MLP / CartPole (MDP)
