step,return,k,config,seed
14664,53.0,1,framestack_k1,1
14668,22.0,1,framestack_k1,1
14708,10.0,1,framestack_k1,1
14724,15.0,1,framestack_k1,1
14796,44.0,1,framestack_k1,1
14828,39.0,1,framestack_k1,1
14868,9.0,1,framestack_k1,1
14880,20.0,1,framestack_k1,1
14952,56.0,1,framestack_k1,1
14952,60.0,1,framestack_k1,1
15000,11.0,1,framestack_k1,1
15056,13.0,1,framestack_k1,1
15060,26.0,1,framestack_k1,1
15064,45.0,1,framestack_k1,1
15100,10.0,1,framestack_k1,1
15124,14.0,1,framestack_k1,1
15164,73.0,1,framestack_k1,1
15172,17.0,1,framestack_k1,1
15196,17.0,1,framestack_k1,1
15256,48.0,1,framestack_k1,1
15300,33.0,1,framestack_k1,1
15360,14.0,1,framestack_k1,1
15384,52.0,1,framestack_k1,1
15428,42.0,1,framestack_k1,1
15444,20.0,1,framestack_k1,1
15452,63.0,1,framestack_k1,1
15500,13.0,1,framestack_k1,1
15512,31.0,1,framestack_k1,1
15548,11.0,1,framestack_k1,1
15580,16.0,1,framestack_k1,1
15596,35.0,1,framestack_k1,1
15620,47.0,1,framestack_k1,1
15624,10.0,1,framestack_k1,1
15672,18.0,1,framestack_k1,1
15684,14.0,1,framestack_k1,1
15724,12.0,1,framestack_k1,1
15740,47.0,1,framestack_k1,1
15776,38.0,1,framestack_k1,1
15784,24.0,1,framestack_k1,1
15788,11.0,1,framestack_k1,1
15828,10.0,1,framestack_k1,1
15896,29.0,1,framestack_k1,1
15896,26.0,1,framestack_k1,1
15928,50.0,1,framestack_k1,1
15968,17.0,1,framestack_k1,1
15988,14.0,1,framestack_k1,1
16024,31.0,1,framestack_k1,1
16064,18.0,1,framestack_k1,1
16068,59.0,1,framestack_k1,1
16116,11.0,1,framestack_k1,1
16136,41.0,1,framestack_k1,1
16152,31.0,1,framestack_k1,1
16208,22.0,1,framestack_k1,1
16248,27.0,1,framestack_k1,1
16260,48.0,1,framestack_k1,1
16280,17.0,1,framestack_k1,1
16320,17.0,1,framestack_k1,1
16328,16.0,1,framestack_k1,1
16336,13.0,1,framestack_k1,1
16376,55.0,1,framestack_k1,1
16388,12.0,1,framestack_k1,1
16408,19.0,1,framestack_k1,1
16480,17.0,1,framestack_k1,1
16488,24.0,1,framestack_k1,1
16536,53.0,1,framestack_k1,1
16560,19.0,1,framestack_k1,1
16588,52.0,1,framestack_k1,1
16660,17.0,1,framestack_k1,1
16708,36.0,1,framestack_k1,1
16744,51.0,1,framestack_k1,1
16780,72.0,1,framestack_k1,1
16808,36.0,1,framestack_k1,1
16828,20.0,1,framestack_k1,1
16864,20.0,1,framestack_k1,1
16896,21.0,1,framestack_k1,1
16900,47.0,1,framestack_k1,1
16916,12.0,1,framestack_k1,1
17060,35.0,1,framestack_k1,1
17084,63.0,1,framestack_k1,1
17112,12.0,1,framestack_k1,1
17120,55.0,1,framestack_k1,1
17124,55.0,1,framestack_k1,1
17192,26.0,1,framestack_k1,1
17216,23.0,1,framestack_k1,1
17260,16.0,1,framestack_k1,1
17300,43.0,1,framestack_k1,1
17336,18.0,1,framestack_k1,1
17360,61.0,1,framestack_k1,1
17388,21.0,1,framestack_k1,1
17400,15.0,1,framestack_k1,1
17420,14.0,1,framestack_k1,1
17452,58.0,1,framestack_k1,1
17524,17.0,1,framestack_k1,1
17584,40.0,1,framestack_k1,1
17628,59.0,1,framestack_k1,1
17652,31.0,1,framestack_k1,1
17680,69.0,1,framestack_k1,1
17732,19.0,1,framestack_k1,1
17740,14.0,1,framestack_k1,1
17820,58.0,1,framestack_k1,1
17832,50.0,1,framestack_k1,1
